Bus,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04
1,1.0395518555888006,1.0396277143598804,1.0396770798781878,1.0396796009336406,1.0396658691173797,1.0396196887346318,1.0395167126979912,1.0391257615720186,1.0391704562057191,1.039260810505447,1.0392091724569759,1.0394171272398804,1.0391472990190713,1.0390627789718259,1.0392994999360818,1.0393076323141455,1.0395081247178144,1.038983164672302,1.0386361336848053,1.038584672988339,1.0385422929637824,1.0387362997229457,1.0390220246334154,1.0393424816740988
2,1.037580036600423,1.037993805707132,1.0382699533614028,1.0382797055411213,1.0381937559897567,1.0379109738354697,1.0373607017140931,1.0350655958250534,1.0353030438071018,1.035569133856605,1.0351935891613882,1.0362564897978224,1.034685267262609,1.0343473577300621,1.0356977084174797,1.0358491086571044,1.0371288497597495,1.034211078483752,1.0325329934887695,1.0322922644584085,1.0319856682269657,1.033068178704748,1.0346323821601022,1.0364569401622106
3,1.0368053497942435,1.0373250446703846,1.0377294392439447,1.0377455109316052,1.0375965858280105,1.037225441973172,1.0362918992703056,1.0329198656141196,1.033255538540755,1.0335290626080083,1.0327829972719063,1.0340561529476,1.0320507209378842,1.0313206631733285,1.0333933639266122,1.0338044397984112,1.0358906569821613,1.0318751491958824,1.0297818989794747,1.0295767333472456,1.0289473647945837,1.0304003438017275,1.0327253141658208,1.0352069873507728
4,1.0360908070400094,1.0367318045641092,1.0372388095973373,1.0372827720069377,1.0370563287757335,1.0365821312959769,1.0353384607451126,1.03083120340757,1.0312424624638112,1.031456577422879,1.0303583971364043,1.0317606091290688,1.0293738965102965,1.0282378075392697,1.0310745714662453,1.0317932863190002,1.0346682005068712,1.0295697111349937,1.0272022312380524,1.0269857346458446,1.025988425479429,1.0278760098770157,1.0309382140837533,1.0340504043273535
5,1.0342778939578172,1.0352190148264617,1.0359668922544183,1.0360805873210996,1.0356730621938937,1.034976700272853,1.0330124766476823,1.0259248587551044,1.0266374945724324,1.0267430175942545,1.0247505117551396,1.0259750727590313,1.0227638878134586,1.0208342238426433,1.0254164270707127,1.0272891215403712,1.0318789097304728,1.024062682821758,1.0210287189670382,1.0206581462834852,1.0184686876816402,1.0215705818451035,1.0264590172463481,1.031189002111684
6,1.034396193896433,1.035349866219125,1.036102142848055,1.036216941046739,1.0357959484332464,1.0350188582280289,1.0330105564378245,1.025866092957536,1.0264739302769745,1.0261222313193812,1.0236467408159513,1.0238270007071877,1.0205112968731924,1.018468324881088,1.0236416867743907,1.0266055847622166,1.0316968835999603,1.024222309876107,1.0209120001540999,1.0202325515476516,1.0182795803120162,1.0212296565631986,1.0264221653614745,1.0312504940202945
7,1.0348812710468849,1.035840907188049,1.0366102167137254,1.0367520112731157,1.0362841766883926,1.0354031387294036,1.033022359532462,1.0250391941404575,1.0249251678211937,1.0235493257687147,1.0201834328157597,1.0196006573735177,1.0159601395913096,1.0136734385381048,1.019731605719349,1.0239340757489206,1.0303835823679803,1.0232672681895203,1.02070999052581,1.0204060229355372,1.0185843167951387,1.0215596437753034,1.02683623967951,1.031637375942588
8,1.0361404124718048,1.03691189885449,1.0376478047947453,1.0378216240872553,1.0373515463927767,1.0363638867514733,1.0335428567695815,1.0248175055880757,1.023548905625645,1.0203660033295043,1.015517756362856,1.01260864881194,1.008725068060963,1.006285027975602,1.0136591948527673,1.020401272358601,1.029054494450634,1.0231028343281174,1.0218040291748425,1.0219509912343476,1.0204362100343727,1.0233367777274638,1.02838200925014,1.0329565912706453
9,1.0375068208488307,1.0380869848640997,1.0387899587498426,1.0389921720497746,1.0385186237543662,1.037433591964517,1.0341492010233495,1.0247907872560342,1.0224329213760222,1.0172748844736472,1.0108555425058157,1.005599243843682,1.0014590947036976,0.9989265347587301,1.0076574151141964,1.0169070297880765,1.0278558440429078,1.023267514421012,1.0232354507372348,1.0238131488547793,1.0226253689981823,1.025393351905173,1.0301667545933968,1.0344474494979286
10,1.0377515940818187,1.0383021316477077,1.0390000632030443,1.0392030643621193,1.0387426609269061,1.0376297523240423,1.0342533064927626,1.0247332901869308,1.0221626342612227,1.0166570388971077,1.0099714765335137,1.0043874427120354,1.0001984689787344,0.9976519718850914,1.0066007677534183,1.0162247070300283,1.0275883710845488,1.0232265372442677,1.0234864640449977,1.0241987457730695,1.023024495546028,1.025785972607495,1.0304856957407431,1.0347127643187972
11,1.0382400080124414,1.0387300625400155,1.039420975631163,1.039626573843423,1.03919086397544,1.0380305661820384,1.0344823065345536,1.0246779017742285,1.0216909322447103,1.0155087263512832,1.008316844349164,1.0020800974502333,0.9978139268187947,0.9952415350957117,1.004611190349316,1.0149695509317174,1.027102645441344,1.0232077713685428,1.0240508198747968,1.025020533106001,1.0238849423920113,1.0266163467174432,1.031145215012307,1.0352508643877012
12,1.0405972802768833,1.0407902923864607,1.0415094657851391,1.0417464134477572,1.041405803615399,1.0401015401735765,1.0359361122767707,1.0254660386356504,1.0208651293117665,1.0117786760411516,1.002201812936395,0.9921591189989216,0.9876302568209783,0.9849936923382419,0.9963586196249565,1.0107027881527597,1.0260209315228812,1.0244681619388682,1.027321448233562,1.0291267365103234,1.028634886815442,1.0308908436833837,1.0346171491152483,1.0381168896480475
13,1.0416950866612724,1.0417549831560822,1.0424664198621598,1.042708113029598,1.0424139684850708,1.0410618184368514,1.036713714681855,1.0262345079606205,1.0210113681124366,1.0107519456625396,1.0001910281344375,0.9881917282726411,0.9835833470843389,0.9809694858009825,0.9931611902718148,1.0094287223640097,1.0260237662558127,1.0256216645847613,1.0290873354500272,1.031092664384032,1.031009438700135,1.0330194614884805,1.0363712612857778,1.0395288543196435
14,1.0429800230854032,1.043042553194257,1.0436488695009452,1.043860620587989,1.0435991043761097,1.0421967400989527,1.03758551668903,1.0270186282969402,1.0212512024489167,1.0098527653689173,0.9981330959670238,0.98435586029561,0.9796784025678078,0.9770100409799525,0.9899668184281385,1.0080205591087505,1.0259242157480108,1.0267622152374152,1.031068755262579,1.0335430872851639,1.0337376424109177,1.035503801188945,1.0383704286575288,1.0410520390678608
15,1.0445807866514403,1.0446393651264154,1.045122225461477,1.045288166236551,1.0450628786609362,1.0436055829292414,1.0386589423947965,1.0279353759867176,1.0214884934774364,1.0086326193306725,0.9954880515209333,0.979631250435959,0.9748977744472516,0.9721658865874638,0.9860276504162636,1.0061622466655298,1.0257030330144978,1.028103669981331,1.0335996930858866,1.0367289918956213,1.0372085335717092,1.0386364874165113,1.040886615441611,1.0429819781744227
16,1.0480133144506951,1.0480528916922722,1.0482267286630707,1.0482830371766967,1.0481392236777325,1.0466171484529159,1.0412224202350797,1.0311247129939405,1.0234316975643984,1.0078339750863115,0.9917199989674298,0.9708827176856156,0.9661401844367639,0.9631896513779161,0.9790156654039412,1.0039017103060168,1.0267012711792682,1.0324480825765163,1.0397629399472204,1.0436971213539237,1.0451536685495284,1.0457406385690593,1.0465965810430418,1.0474226228558539
17,1.0497440611040143,1.049766487880151,1.0497917575473734,1.0497985375668588,1.0496952258487289,1.0481237803269556,1.0424224184948512,1.0323849681555228,1.0239202609019245,1.0068487491535127,0.9893355779930235,0.966299503965047,0.9615097598382502,0.958472199532671,0.9752548418862336,1.00228681183992,1.0267403627494391,1.0341879949408228,1.0427865922704231,1.0472899166505156,1.0491053389061453,1.049321512182869,1.0494438268503488,1.049628087383066
