Bus,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.9994764392168832,0.9995057509904575,0.9995218939587958,0.9995211776800651,0.9995205186160726,0.9994603679781613,0.9993155517101083,0.9989369594562785,0.999042006784765,0.9993315523420286,0.999343550127868,0.9996242368762415,0.9993640912674235,0.9992857908324011,0.9995032197729529,0.9994415574069648,0.9994415413598043,0.9987281178600266,0.9981911745739801,0.9983024492046741,0.9983568851106682,0.9984539266696953,0.9985742224485297,0.9989920344060625
2,0.9972287648255984,0.9973268103038341,0.9973809726594036,0.9973682963414574,0.9973656876505043,0.9969976830856385,0.9962190205496303,0.9940621715999485,0.9946944356196757,0.9961579881840615,0.9961814387856085,0.9976951346753742,0.9962028766274895,0.9959303025389176,0.9971318869105581,0.9968202670575604,0.9968624551407439,0.992822501029718,0.9900853320550046,0.9908893439797496,0.9911828153309756,0.9916063148686767,0.992045995133445,0.9944236762056953
3,0.9964575295126337,0.9964180439257493,0.9964482913402495,0.9964280002268573,0.9964117241091116,0.9959294874003862,0.9946234609950186,0.9915911071044907,0.9925976950716972,0.9948134415492593,0.9946912692285086,0.9966766709786448,0.9949213551590538,0.9941835596929067,0.9960115216618329,0.995632064684996,0.9957665940755501,0.9900605272027778,0.9864207537585498,0.9879456615335275,0.9882456510095756,0.9885358520869736,0.9889687766908065,0.9921979070102628
4,0.995774654041648,0.995606333767243,0.9955714504596682,0.9955709772398543,0.9955249249731539,0.994909571368244,0.993172025713304,0.9892118564348837,0.9905787451785727,0.9934952917456831,0.9932675759413303,0.9956426627216427,0.9936999003447232,0.992473244197902,0.994972669481416,0.9945590541653746,0.9947314313262806,0.9873595448766135,0.9829858003711422,0.9851934078466321,0.9854561016133092,0.9856727357779826,0.9860278551226175,0.9900712839574949
5,0.9946536259657675,0.9941503071923047,0.9939379832016405,0.9939922577694237,0.993868461386036,0.992997976240587,0.9903537329959843,0.9844910594439805,0.9866157637389729,0.9909774983982682,0.9905485815434014,0.993667415063118,0.9913895454788811,0.9891604926587245,0.992995295067154,0.992543278830847,0.9928486968478941,0.9820891445007244,0.9765228374372642,0.9802483444692021,0.9800287987223943,0.9802736270513491,0.9803740206139016,0.9859161045604083
6,0.9941338297786124,0.9936632125066935,0.9935196022318175,0.9935869310388317,0.9934354164443019,0.9924625270979552,0.9896892012098314,0.9833446329677825,0.9854869105357176,0.990030056297519,0.9895250892894835,0.9929336539744646,0.990516714827312,0.9882059963278489,0.9922243998688421,0.9918733766789399,0.9919732109588661,0.9808037032376806,0.9755371103875531,0.9792112914042679,0.9796080407993936,0.9792666102281279,0.9789872974306605,0.9849368455558771
7,0.9933121740376633,0.9928930259682154,0.9927973035529384,0.9928864456900728,0.9926832791505714,0.9916069308034928,0.9884678799375329,0.9813659696957717,0.9834475558574574,0.9884353573870276,0.9876273620469581,0.9917023929864609,0.9889453854310715,0.9864116347139332,0.990746036950404,0.9906519945274631,0.990632525455043,0.9782387234331759,0.9730198752755558,0.9768325396409034,0.9776334311575364,0.9771751755456091,0.9763717598225599,0.9830125474847106
8,0.9926386716485099,0.9920418527904751,0.9919804112076113,0.9921027896559663,0.9919012928892204,0.9907289629457334,0.9871229907416236,0.9791847832816877,0.9810027554672734,0.9864527720590132,0.9851961575250006,0.9896043355637605,0.986599364630858,0.9839891409979887,0.9885911864021127,0.9890894722940399,0.9889921956545191,0.9753223983628592,0.9710429133875241,0.9752313986830067,0.9769466682711024,0.9759244194967849,0.9734695280801247,0.9809231746928869
9,0.992078897297358,0.9913012577944778,0.9912748439833173,0.9914253144884851,0.9912241757487015,0.9899688875628747,0.9858715400614132,0.9772488041640478,0.9789101858307806,0.984636979332959,0.9828315868034759,0.9875986442198773,0.9843200105587151,0.9817002593429596,0.986617102022806,0.9876273412708332,0.9875572061439503,0.972827292750792,0.9694782292739067,0.9739979134996055,0.9766614924377515,0.9749944638553097,0.9708285622967727,0.979017298724686
