Bus,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.9995716356775795,0.9995944148933565,0.9996075963063787,0.9996074145696319,0.9996068894607175,0.9995623677490689,0.9994126985589149,0.9991263286683791,0.9989915924254341,0.9989817507461292,0.9989185000804899,0.9991409203535724,0.998915935462202,0.9988802228213125,0.9990350798009332,0.9989996633755337,0.9992146301994247,0.9987138045958628,0.9987323089774894,0.9988219370838016,0.9988729684182661,0.9989261395638902,0.9989945562003195,0.9991000793077239
2,0.9978327287902671,0.9978893372352897,0.9979247119669596,0.9979154284324242,0.9979136678196263,0.9976450020169094,0.9968412817191683,0.9952718116811369,0.9944096323375445,0.9940007203432879,0.9935563058688596,0.9947673643831765,0.9934733410358358,0.9934364370369388,0.9942607366268795,0.9940654605141364,0.995504007999156,0.9927597606300593,0.9935291194198026,0.9941836928616008,0.9944559886750051,0.9946003696262902,0.9947108223311589,0.9951088221686074
3,0.9974384616637535,0.9973317800451628,0.9973315338481654,0.9973167545347967,0.9973018599581736,0.9969812447355361,0.9956445535016134,0.9935700110578854,0.9921961601754969,0.9914179417242982,0.9905520981424104,0.9921614133154798,0.9906872993844703,0.9902704723516883,0.9915198767293023,0.9912421944062364,0.9937014009757688,0.9900076728287017,0.9920295176592455,0.9932898486679526,0.9935562260632801,0.9933934494921143,0.993292335058859,0.9933101144477352
4,0.9971478193141304,0.9968854824495015,0.996807957436627,0.9968151768266003,0.9967710727994005,0.9963821850370544,0.9946092713808792,0.9919925780404487,0.9900638704000947,0.9888260368201499,0.9875701016480705,0.9895073057885954,0.9879271989191205,0.9871020055714128,0.9888181268085986,0.9884799086104766,0.9919496716093675,0.9873234131544448,0.9908464520931448,0.9926678644553707,0.992885414320438,0.9924668386893242,0.9920749059993217,0.9916274432262997
5,0.9969027226087297,0.9962405001550766,0.995954932263122,0.9960224316452481,0.9959009156220954,0.9954020211985469,0.9927141154833824,0.989061818463043,0.9858778941756929,0.98351494935559,0.9813859017869,0.983897840508848,0.9822449126830082,0.9805000711807818,0.9831505073015999,0.9827400431039512,0.9885433029245512,0.982107962779562,0.9893917476283034,0.9924851954125166,0.9923919955108215,0.9913856528703411,0.9901725979353553,0.9884392056419744
6,0.9963758959736542,0.995754345789256,0.9955243776105135,0.995597078403809,0.9954526811693825,0.9948569806837614,0.9920659624542333,0.9879975383709196,0.9847611264042527,0.9822712448681795,0.9801493068289369,0.982940062469032,0.9811625154144994,0.979329070044246,0.9821413415393874,0.9816310318611307,0.9875118801437605,0.9808469555103486,0.9879057600576524,0.9908296889867234,0.9907249844151689,0.9897061660918796,0.9889865303867126,0.9876186636549541
7,0.9954404534776584,0.994884407589863,0.9946888681502172,0.9947772843041788,0.9945828818693105,0.9939104884273359,0.9908530274961899,0.986187029203935,0.9825851008513051,0.9799267972809231,0.977843986701045,0.9812466904739712,0.9792128378204275,0.977195485434655,0.980189762345583,0.9795421291399183,0.985576503920093,0.9782683637972451,0.9859688566817104,0.9888058477987477,0.9887711792568749,0.9879318227965447,0.9877134149105473,0.9862329396687545
8,0.9946172607549779,0.99390754808986,0.993720128220406,0.9938284704804089,0.9936411259176862,0.9929102315346243,0.9895354727000465,0.9842802404511092,0.9800169247985082,0.9768635555764206,0.9748332055547073,0.9785603159766355,0.9763688834582063,0.9742832887666303,0.9773810730467974,0.9766321563500435,0.9831696592046386,0.9753837120475586,0.9843464520058802,0.9871767892925206,0.9871808211324967,0.9865689312309981,0.986625109450907,0.9849307989920025
9,0.9939052701539763,0.993038993269478,0.9928602764043377,0.992983339533696,0.9928017458952854,0.992025882612058,0.988313213410241,0.9826229669772666,0.9778108830034609,0.9739777406507865,0.9719080602185716,0.9760078006851748,0.9736255554182219,0.9715281380694807,0.9747817986257477,0.973826529615736,0.9809868283388206,0.972929658743842,0.9831451770064993,0.9859182425163506,0.9859868790684373,0.985530238144021,0.9858179643559553,0.9838205175576409
10,0.993790812066938,0.9929021300370051,0.9927203174948359,0.9928390102305338,0.9926776411104806,0.9918817708823328,0.9881132438324399,0.982349179541946,0.9774344832048525,0.9734860239328305,0.9714064272470245,0.9755673745887473,0.973151721691128,0.9710515013877272,0.9743329600202468,0.9733488297794191,0.9806245573308033,0.972524275189976,0.983015324931914,0.9857956473364328,0.9858531202861044,0.9854300749852428,0.9857322300776311,0.9836450964716965
11,0.9936019144959162,0.9926652926984695,0.9924809886611425,0.9925927961821353,0.9924694908757913,0.9916429991430487,0.9877736235550683,0.9818995256619317,0.9767792912395852,0.9725962631429846,0.9705001266362865,0.9747521160804942,0.972288907578745,0.9701784595458269,0.9735237815835243,0.9725043985204257,0.9799786775831772,0.9718344336719588,0.9828824723328629,0.9856758936209422,0.9857285238066974,0.9853468847427658,0.985637057608667,0.9833542106789646
12,0.9931145945128989,0.9919239157002331,0.9918595301931158,0.9919827065708857,0.9919963320581083,0.9910966539995928,0.9867900455472655,0.9804957419917864,0.9745341428829694,0.9693058794914308,0.9669996071692324,0.9715370496628534,0.9688634238954543,0.9667472326616727,0.9704035617013292,0.9693584864973964,0.9777174787481414,0.9695598737035787,0.9826751697039886,0.985732207855152,0.9860521580878856,0.9855485793044303,0.9856231710188761,0.9827236655323284
13,0.9930937667981655,0.9917840189008541,0.9917643048830477,0.9918872697395426,0.9919619548005103,0.9910389307675541,0.9865809862980773,0.9801937600484159,0.9738590473007079,0.9681933912891652,0.9658281326954832,0.97041297520873,0.9676502680220487,0.9655853066392092,0.9693137204730098,0.9682854418617635,0.977062278831477,0.9690610758321654,0.9828722995205477,0.9860713904004393,0.9865621777997988,0.9859990767846206,0.9858947383689638,0.9827503545745725
14,0.9933078709438887,0.9920580517565083,0.9919390935400575,0.9920117190324591,0.9921330012108813,0.9911903318120169,0.9865338664476964,0.9801605383857249,0.9736460560332753,0.9676366253391893,0.9649620075408516,0.9695597822321835,0.9667207121182432,0.9645765836726076,0.9683750115563652,0.9673989716133914,0.9766055894618416,0.968890978852807,0.9835759707424945,0.9870772269747108,0.9876674293177277,0.9870047830902079,0.9866052469568587,0.9829403616696007
15,0.9936079031276402,0.9924220065567717,0.9921798781213261,0.99217653211089,0.9923519204167582,0.9913971180209191,0.9865095065388589,0.9801956369707271,0.9734868927852857,0.9669932862758179,0.9639151957164005,0.9685101041122856,0.9656141005943097,0.9633614481148471,0.9672475793788652,0.9663170550027633,0.9760863031458112,0.9687948527955281,0.9846998498098366,0.9885796934558816,0.9892725189271783,0.9884126355912,0.9876350567318217,0.9832764255594533
16,0.9946174057459469,0.9935411200315784,0.9930266779668194,0.9928645603858239,0.9931461173257312,0.9922016985983277,0.9869554339433619,0.9812469018555089,0.974023166591505,0.9665943746910938,0.9625496324216452,0.9670919466023074,0.9641185833739323,0.9615323885021079,0.9656644447256278,0.9648247963886567,0.9760347873442929,0.9697613451843292,0.9877393229417777,0.9923417299905023,0.9934383428466684,0.9921129642071939,0.9902645348934365,0.9847484883180432
17,0.9951024644637426,0.994072382438794,0.9934044169191922,0.9931624501551404,0.9935029329477347,0.9925525673778149,0.9871077126129237,0.981702526078772,0.974158312207029,0.9662102819834099,0.961779927039111,0.9662537584505609,0.963208979635339,0.9604604294350401,0.9647655708538039,0.9640001770571003,0.975862572987953,0.9701685829191501,0.9894991931080577,0.9943868613344802,0.99566978516077,0.9941104586157883,0.9917257542747788,0.9854629517624008
18,0.9994015578662665,0.9994557947393115,0.9994763478362375,0.9994780590887729,0.9994832293535718,0.9994346230556139,0.999246555802787,0.9988975153229691,0.9987404385340641,0.9988295034198805,0.9987816604928458,0.9990505480509219,0.9987910035281544,0.998704350969997,0.9989123513418081,0.9988745692565097,0.9990619652082433,0.998434150049946,0.9982754666026834,0.9983362177485201,0.9983743509763969,0.9985007832570942,0.9986669800453009,0.9988397489284349
19,0.9982886211887217,0.9984882444654649,0.9985471296156083,0.9985687786246475,0.9986067231422133,0.9985315820641701,0.9980512374500343,0.9972907375425155,0.9969239829398473,0.9976633805438787,0.9977645517664849,0.998450967448718,0.9978672799948387,0.9973437871672669,0.9979958103117755,0.9979723578059976,0.9979566702197655,0.9964566210617667,0.9953207709939503,0.9951028832806494,0.9950135846575741,0.9956308589888051,0.996527010970128,0.9970278982511502
20,0.9980706846183869,0.998304653594775,0.9983682880733126,0.9983923915833499,0.9984250341935885,0.998357800954512,0.9978424211168045,0.996942549993825,0.9965780921942122,0.9973916739879466,0.9975635833349882,0.9983502037673363,0.9976812444748778,0.9970548901489873,0.9977888678541004,0.9977922054176636,0.9977888903802319,0.9961132925515427,0.9947238148725177,0.9944989329808951,0.9943114524504743,0.9950291666317393,0.9961244383140888,0.9967079559618011
21,0.9978124358021028,0.998084616482368,0.9981541337265306,0.9981862982558012,0.9982198545178198,0.9981623153483544,0.9976111765042205,0.9965906955123011,0.9962570715174122,0.9971553416842345,0.9973694901904291,0.9982824845219482,0.9975015120801383,0.9968263844190278,0.997674689503831,0.9976470479238606,0.9976430340697862,0.9958076070849523,0.9941051214509521,0.9938917567894133,0.9936769837330391,0.9944522183837268,0.9957610164258313,0.9964096415135923
22,0.9967865266279524,0.9970224834177981,0.9971315224377492,0.9971089860216109,0.9971135018256434,0.9966919048627714,0.9959620865619264,0.99387384042233,0.9929590615295611,0.9926152222022379,0.9923360594476333,0.9939513911176328,0.9919070888418766,0.9923552102257596,0.9932563954943359,0.9931096413527811,0.9943867641556309,0.9908620682611204,0.9907479957204266,0.9910872122404893,0.9915207439896647,0.9921099414818337,0.9925294752514985,0.9937048273676244
23,0.9948443610263172,0.9954454635562012,0.9956841684939072,0.995638286017528,0.9956469469902051,0.9949559413585799,0.9944270309589116,0.9912441529839753,0.9902516092324387,0.9899875647947393,0.9902536148097713,0.9926145671106457,0.9888632968089678,0.990308714582518,0.9913064921388952,0.991347463176545,0.9923146734950338,0.9871866798578368,0.9853991403463641,0.9852279199004129,0.9861843886877459,0.9876592133250259,0.9886208098577948,0.9911495425062022
24,0.9936861091926437,0.9945699363615622,0.9949348920113137,0.994864058615547,0.9948995776322064,0.994043244594091,0.9935724150728528,0.9900678721468343,0.9891642838850307,0.9893796214681493,0.9896732438902056,0.9919444548483151,0.988164122150731,0.9896462543463395,0.9906907091959882,0.9906916043177992,0.9914823175145842,0.9860836264509281,0.983282872861095,0.9819468234700462,0.983043938045176,0.985642892112048,0.9868555400374592,0.9898215545392621
25,0.9966520863454951,0.9960175406292959,0.9957450691051462,0.9958162636161331,0.9956863284323489,0.9951772802617291,0.9924176325222317,0.9885470471705897,0.9852833794185818,0.9828936876012347,0.9807340548145163,0.9833811127294615,0.981663487839507,0.9798639883068561,0.9825840610501777,0.9821347110879449,0.9880991700865666,0.9812934266761631,0.9887518792010659,0.9918646802862222,0.9916900549457585,0.990798551194814,0.9896945210697317,0.987946629531256
26,0.9963792534897493,0.9957781641395452,0.9955208064813528,0.9955966284990864,0.9954509435816356,0.9949304763596369,0.992074175088978,0.9879366888678442,0.9845532990071983,0.9820726492088313,0.9798573705560526,0.9826700350900264,0.9808620925756921,0.9790031534503418,0.9818185686579275,0.9813367693226352,0.9875163536019604,0.9802156909754202,0.9879736828449275,0.9911254004438397,0.9908376052460243,0.9900886765669346,0.9891059069886879,0.9873202268908485
27,0.9952151944684757,0.9947682617844531,0.9945727458275241,0.9946743775457099,0.994467000862647,0.9939266872928092,0.9906347234344935,0.9853803465266036,0.9817638469253849,0.9789864273711971,0.976479949582418,0.9798806737447753,0.9777509338398954,0.9757536447730273,0.9788477786404022,0.9782719629302269,0.9852496017965219,0.97591938160494,0.9847905668376293,0.9884227254372121,0.9872250374507341,0.9871611002622172,0.9866673627983986,0.9849435810098881
28,0.9945770260202049,0.9941613603522814,0.994025041499945,0.9941393669841244,0.9939409717882246,0.9933669859112401,0.9897517625442587,0.9836021378518938,0.979866774174635,0.9767907094442271,0.9741173228656124,0.9778723860216164,0.9755015575721894,0.9733887900975298,0.976755159359592,0.9761085729320242,0.9837608798510418,0.9729567553962198,0.9827743823167091,0.9866561274512267,0.9847592846210554,0.9852414543118523,0.9850093636950368,0.9833676412132611
29,0.9944039946209423,0.9939788849298614,0.9938577331305039,0.9939790581990426,0.9937665037658733,0.9931756022382904,0.9893861662423894,0.9828400387861034,0.9788974785639737,0.9755411827900183,0.9727558309173171,0.9766820563783574,0.9742093639767079,0.9720429883344294,0.9755534702381131,0.9748505071170721,0.9829528042089737,0.9715851030684713,0.9822139841801995,0.9861607530245344,0.9839659747972478,0.984639625065464,0.9844349412487693,0.9826626466715617
